Tahun,Kode_Reporter,Negara_Reporter,Kode_Mitra,Negara_Mitra,Kode_Arus,Arus_Perdagangan,Kode_HS,Nama_Barang,Satuan_Kuantitas,Kuantitas,Berat_Bersih_Kg,Nilai_Impor_USD,Dilaporkan_Langsung
2024,360,Indonesia,156,China,M,Import,847910,"Machinery and mechanical appliances; for public works, building or the like",N/A,0.0,2745840.0,15253885.0,True
2024,360,Indonesia,156,China,M,Import,843629,Poultry-keeping machinery; other than incubators and brooders,N/A,0.0,6409013.0,13890193.0,True
2024,360,Indonesia,156,China,M,Import,854141,"Electrical apparatus; photosensitive semiconductor devices, light emitting diodes (LED)",N/A,0.0,565562.0,13766794.0,True
2024,360,Indonesia,156,China,M,Import,843069,"Machinery; for moving, levelling, scraping, grading, excavating earth minerals or ores; not self propelled n.e.c in 84.30",N/A,0.0,1737820.0,13513143.0,True
2024,360,Indonesia,156,China,M,Import,851840,Amplifiers; audio-frequency electric,N/A,0.0,4173898.0,13456395.0,True
2024,360,Indonesia,156,China,M,Import,860110,Rail locomotives; powered from an external source of electricity,N/A,0.0,4164126.0,13232248.0,True
2024,360,Indonesia,156,China,M,Import,851531,"Welding machines and apparatus; for arc (including plasma arc) welding of metals, fully or partly automatic, whether or not capable of cutting",N/A,0.0,1333049.0,11635493.0,True
2024,360,Indonesia,156,China,M,Import,852411,"Flat panel display modules, whether or not incorporating touch-sensitive screens; of liquid crystals, without drivers or control circuits",N/A,0.0,2404239.0,10811214.0,True
2024,360,Indonesia,156,China,M,Import,846262,"Machine-tools; cold metal working presses, mechanical presses",N/A,0.0,3611272.0,10562866.0,True
2024,360,Indonesia,156,China,M,Import,846420,"Machine-tools; grinding or polishing machines, for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass",N/A,0.0,2053297.0,10368392.0,True
2024,360,Indonesia,156,China,M,Import,853929,"Lamps; filament, (excluding ultra-violet or infra-red), n.e.c. in item no. 8539.2",N/A,0.0,2397824.0,10287292.0,True
2024,360,Indonesia,156,China,M,Import,846150,"Machine-tools; sawing or cutting-off machines, working by removing metal, sintered metal carbides or cermets",N/A,0.0,2066198.0,9994893.0,True
